Time	P	catT	Time	A	catT	Time	A	catT	Time	A	catT								
0	0.6	0.00225	0	0.6	0.009	0	0.6	0.018	0	0.3	0.00225								
0.251266512	0.571961017	0.00225	0.191378271	0.584316915	0.009	0.231311571	0.547029763	0.018	0.171874187	0.286323582									
0.331661313	0.553279244	0.00225	0.271265651	0.56362804	0.009	0.311572725	0.505516002	0.018	0.252681869	0.27790218	0.00225								
0.412062678	0.538744757	0.00225	0.351821376	0.540777574	0.009	0.411948601	0.466069847	0.018	0.333599791	0.265271684	0.00225								
0.572886384	0.505527539	0.00225	0.431419516	0.515866155	0.009	0.492523236	0.422472527	0.018	0.414311678	0.250534031	0.00225								
0.653273149	0.486842875	0.00225	0.51278062	0.488901328	0.009	0.572872224	0.380974521	0.018	0.49509812	0.235797592	0.00225								
0.733671798	0.468157693	0.00225	0.592999534	0.459861018	0.009	0.653334222	0.33945607	0.018	0.575910372	0.221061807	0.00225								
0.914576077	0.434940539	0.00225	0.653347822	0.432841499	0.009	0.733751243	0.299998449	0.018	0.6566933	0.206326239	0.00225								
0.994974298	0.418333023	0.00225	0.733628854	0.405854925	0.009	0.8342387	0.262641266	0.018	0.737447065	0.191593524	0.00225								
1.155784239	0.385114059	0.00225	0.834083592	0.37886084	0.009	0.914593888	0.229406351	0.018	0.81826289	0.17896083	0.00225								
1.23618656	0.370581563	0.00225	0.91418712	0.351963892	0.009	0.994926648	0.198274432	0.018	0.919333101	0.1642352	0.00225								
1.316588695	0.341516285	0.00225	0.994877372	0.326955245	0.009	1.075429117	0.169216774	0.018	1.000134803	0.1536924	0.00225								
1.497494767	0.318678714	0.00225	1.075238475	0.30204423	0.009	1.155756215	0.144298565	0.018	1.080950538	0.141066328	0.00225								
1.577900551	0.304146997	0.00225	1.155696702	0.279203862	0.009	1.236388163	0.123529767	0.018	1.16177324	0.130538866	0.00225								
1.73870029	0.27923348	0.00225	1.236143353	0.258437599	0.009	1.316666666	0.10276245	0.018	1.242559832	0.120012861	0.00225								
1.899509792	0.256396424	0.00225	1.316567355	0.237665539	0.009	1.41714435	0.088242413	0.018	1.323361051	0.11158996	0.00225								
2.080411697	0.235634504	0.00225	1.4172128	0.216837131	0.009	1.497482189	0.073717047	0.018	1.404174048	0.10317001	0.00225								
2.241213986	0.208646336	0.00225	1.497751605	0.198165508	0.009	1.57781739	0.061250208	0.018	1.485089634	0.094747047	0.00225								
2.48241476	0.183734043	0.00225	1.577568082	0.181543662	0.009	1.6582762	0.050873783	0.018	1.585935168	0.088434914	0.00225								
2.74372522	0.16089619	0.00225	1.658209871	0.166840865	0.009	1.73869123	0.042570897	0.018	1.666788512	0.082114155	0.00225								
3.065323389	0.138054663	0.00225	1.740211658	0.152555739	0.009	1.819077291	0.036326159	0.018	1.747608495	0.075798849	0.00225								
3.407055509	0.117298175	0.00225	1.820449966	0.135813935	0.009	1.899481767	0.030105584	0.018	1.909213822	0.063171929	0.00225								
3.90953841	0.094458173	0.00225	1.900688274	0.12334857	0.009	2.000207801	0.025930088	0.018	2.070842272	0.054744437	0.00225								
4.653299123	0.069546639	0.00225	2.002088326	0.11488668	0.009	2.080665754	0.021785329	0.018	2.333429415	0.044220316	0.00225								
5.658316236	0.046710561	0.00225	2.082326634	0.104514042	0.009	2.160744808	0.019725239	0.018	2.737461321	0.031598258	0.00225								
7.989968377	0.023874202	0.00225	2.243684984	0.086134453	0.009	2.241327283	0.015574372	0.018	3.404104691	0.021095948	0.00225								
